year,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Location 1,Premise,Total Incidents
2016,12/6/16,21:15:00,3D,5900 YORK RD,ROBBERY - COMMERCIAL,I,,523,NORTHERN,Rosebank,"(39.3645400000, -76.6099700000)",CARRY OUT,1
2016,12/6/16,21:20:00,3B,1400 W 37TH ST,ROBBERY - STREET,O,,531,NORTHERN,Hampden,"(39.3318800000, -76.6389800000)",STREET,1
2016,12/6/16,23:00:00,3B,5300 BEAUFORT AVE,ROBBERY - STREET,O,,633,NORTHWESTERN,Arlington,"(39.3483700000, -76.6818100000)",ALLEY,1
2016,12/6/16,23:35:00,3K,1800 BOLTON ST,ROBBERY - RESIDENCE,I,,132,CENTRAL,Bolton Hill,"(39.3096400000, -76.6292300000)",APT/CONDO - OCCUPIED,1
2016,12/6/16,23:38:00,3AF,2200 ASHTON ST,ROBBERY - STREET,O,FIREARM,841,SOUTHWESTERN,Carrollton Ridge,"(39.2818200000, -76.6515300000)",STREET,1
2016,12/5/16,0:09:00,3AF,FAYETTE ST & N LIBERTY ST,ROBBERY - STREET,O,FIREARM,111,CENTRAL,Downtown,"(39.2903600000, -76.6176900000)",STREET,1
2016,12/5/16,0:48:00,3AF,0 E CHASE ST,ROBBERY - STREET,O,FIREARM,141,CENTRAL,Mid-Town Belvedere,"(39.3024100000, -76.6158600000)",STREET,1
2016,12/5/16,6:15:00,3AO,700 N EUTAW ST,ROBBERY - STREET,O,OTHER,143,CENTRAL,Seton Hill,"(39.2967700000, -76.6214200000)",STREET,1
2016,12/5/16,8:06:00,3AF,300 WENDOVER RD,ROBBERY - STREET,O,FIREARM,542,NORTHERN,Guilford,"(39.3403800000, -76.6107000000)",DRIVEWAY,1
2016,12/5/16,17:30:00,3AF,6900 REISTERSTOWN RD,ROBBERY - STREET,O,FIREARM,631,NORTHWESTERN,Fallstaff,"(39.3620000000, -76.7101200000)",STREET,1
2016,12/5/16,17:37:00,3B,HILL AV & N MARTIN LUTHER KING JR,ROBBERY - STREET,O,,123,CENTRAL,Upton,"(39.2984900000, -76.6242100000)",STREET,1
2016,12/5/16,18:50:00,3JF,1300 RAMSAY ST,ROBBERY - RESIDENCE,I,FIREARM,935,SOUTHERN,New Southwest/Mount Clare,"(39.2833800000, -76.6389500000)",ROW/TOWNHOUSE-VAC,1
2016,12/5/16,19:32:00,3AF,800 E BALTIMORE ST,ROBBERY - STREET,O,FIREARM,211,SOUTHEASTERN,Jonestown,"(39.2901000000, -76.6052400000)",STREET,1
2016,12/5/16,20:45:00,3B,LOMBARD ST & S CONKLING ST,ROBBERY - STREET,O,,223,SOUTHEASTERN,Baltimore Highlands,"(39.2914000000, -76.5674800000)",STREET,1
2016,12/4/16,9:20:00,3AO,3500 NEWLAND RD,ROBBERY - STREET,O,OTHER,542,NORTHERN,Guilford,"(39.3314600000, -76.6106300000)",STREET,1
2016,12/4/16,11:35:00,3AF,2700 FREDERICK AVE,ROBBERY - STREET,O,FIREARM,842,SOUTHWESTERN,Carroll-South Hilton,"(39.2809600000, -76.6597000000)",STREET,1
2016,12/4/16,12:37:00,3K,1100 W LOMBARD ST,ROBBERY - RESIDENCE,I,,931,SOUTHERN,Hollins Market,"(39.2866100000, -76.6360900000)",ROW/TOWNHOUSE-OCC,1
